CIF_NIF,n_EMPL,TOT_ARPU_3m,TOT_LINEAS_FYM,ARPU_F_3m,ARPU_M_3m,TOT_LINEAS_POT,cADSL,cFusionado
1,15,26.0921,1,26.0921,0,0,0,0
2,1,14.6507,1,14.6507,0,0,0,0
3,0,0,2,0,0,0,0,0
4,4,28.98,1,0,28.98,0,0,0
5,0,11.0951,1,11.0951,0,0,0,0
6,0,12.89,1,0,12.89,0,0,0
7,28,39.022,3,39.022,0,0,0,0
8,2,109.4267,3,58.8267,50.6,0,1,1
9,2,87.5423,2,87.5423,0,1,1,0
10,3,61.027,2,40.017,21.01,0,1,1
11,1,76.2129,2,60.8129,15.4,0,1,1
12,1,67.8004,2,49.5904,18.21,0,1,1
13,0,153.5594,4,131.5394,22.02,0,0,0
14,0,352.298,3,352.298,0,0,1,0
15,45,37.3746,1,37.3746,0,0,0,0
16,0,19.5855,1,19.5855,0,0,0,0
17,2,45.3091,1,45.3091,0,0,1,0
18,0,81.086,3,69.956,11.13,0,0,0
19,0,370.8496,12,230.2696,140.58,0,0,0
20,0,388.5553,5,299.4253,89.13,0,1,1
21,18,179.9776,6,130.8576,49.12,0,0,0
22,2,44.2814,3,33.8214,10.46,0,1,1
23,0,28.68,1,0,28.68,0,0,0
24,0,20.4119,1,20.4119,0,0,0,0
25,4,32.697,1,32.697,0,0,0,0
26,1,33.0374,1,33.0374,0,0,1,0
27,0,21.1423,3,21.1423,0,0,0,0
28,2,21.49,1,0,21.49,1,0,0
29,0,44.6275,1,44.6275,0,0,1,0
30,0,45.582,1,45.582,0,0,0,0
31,0,15.2054,1,15.2054,0,0,0,0
32,0,161.1884,4,138.4384,22.75,0,0,0
33,0,304.0893,7,183.5193,120.57,0,1,0
34,1,262.0815,4,262.0815,0,0,0,0
35,12,147.9908,3,147.9908,0,0,1,0
36,5,40.6811,1,40.6811,0,0,1,0
37,2,8.4375,1,8.4375,0,0,0,0
38,55,39.9988,1,39.9988,0,0,1,0
39,0,9,1,0,9,0,0,0
40,1,44.04,1,0,44.04,0,0,0
41,0,19.5855,1,19.5855,0,0,0,0
42,2,38.313,2,38.313,0,0,0,0
43,1,130.2831,6,86.9231,43.36,0,0,0
44,1,88.2109,2,88.2109,0,0,0,0
45,1,143.0915,5,125.0915,18,0,0,0
46,2,129.9035,4,129.9035,0,0,0,0
47,1,122.7306,4,85.2106,37.52,0,0,0
48,1,632.67,10,507.46,125.21,0,1,0
49,0,148.4021,1,148.4021,0,0,1,0
50,0,176.0036,4,158.3336,17.67,1,1,0
51,26,280.3792,8,172.5692,107.81,0,1,0
52,0,145.5105,2,145.5105,0,0,1,0
53,25,144.2737,4,144.2737,0,0,1,0
54,12,33.272,1,33.272,0,0,0,0
55,0,31,1,31,0,0,0,0
56,0,0,2,0,0,0,0,0
57,0,15.26,1,0,15.26,0,0,0
58,23,35.0492,1,35.0492,0,0,0,0
59,0,41.5616,2,33.0516,8.51,0,1,1
60,2,21.0266,1,21.0266,0,0,0,0
61,25,14.379,1,14.379,0,1,0,0
62,0,9.92,1,0,9.92,0,0,0
