,n_EMPL,TOT_ARPU_3m,TOT_LINEAS_FYM,ARPU_F_3m,ARPU_M_3m,TOT_LINEAS_POT,cADSL,cFusionado,labels
0,15,26.0921,1,26.0921,0.0,0,0,0,1
1,1,14.6507,1,14.6507,0.0,0,0,0,1
2,0,0.0,2,0.0,0.0,0,0,0,1
3,4,28.98,1,0.0,28.98,0,0,0,1
4,0,11.0951,1,11.0951,0.0,0,0,0,1
5,0,12.89,1,0.0,12.89,0,0,0,1
6,28,39.022,3,39.022,0.0,0,0,0,1
7,2,109.4267,3,58.8267,50.6,0,1,1,1
8,2,87.5423,2,87.5423,0.0,1,1,0,1
9,3,61.027,2,40.016999999999996,21.01,0,1,1,1
10,1,76.2129,2,60.8129,15.4,0,1,1,1
11,1,67.8004,2,49.5904,18.21,0,1,1,1
12,0,153.5594,4,131.5394,22.02,0,0,0,0
13,0,352.298,3,352.298,0.0,0,1,0,0
14,45,37.3746,1,37.3746,0.0,0,0,0,1
15,0,19.5855,1,19.5855,0.0,0,0,0,1
16,2,45.3091,1,45.3091,0.0,0,1,0,1
17,0,81.086,3,69.956,11.13,0,0,0,1
18,0,370.8496,12,230.2696,140.58,0,0,0,0
19,0,388.5553,5,299.4253,89.13,0,1,1,0
20,18,179.9776,6,130.8576,49.12,0,0,0,0
21,2,44.2814,3,33.8214,10.46,0,1,1,1
22,0,28.68,1,0.0,28.68,0,0,0,1
23,0,20.4119,1,20.4119,0.0,0,0,0,1
24,4,32.696999999999996,1,32.696999999999996,0.0,0,0,0,1
25,1,33.0374,1,33.0374,0.0,0,1,0,1
26,0,21.1423,3,21.1423,0.0,0,0,0,1
27,2,21.49,1,0.0,21.49,1,0,0,1
28,0,44.6275,1,44.6275,0.0,0,1,0,1
29,0,45.582,1,45.582,0.0,0,0,0,1
30,0,15.2054,1,15.2054,0.0,0,0,0,1
31,0,161.1884,4,138.4384,22.75,0,0,0,0
32,0,304.0893,7,183.5193,120.57,0,1,0,0
33,1,262.0815,4,262.0815,0.0,0,0,0,0
34,12,147.9908,3,147.9908,0.0,0,1,0,0
35,5,40.6811,1,40.6811,0.0,0,1,0,1
36,2,8.4375,1,8.4375,0.0,0,0,0,1
37,55,39.9988,1,39.9988,0.0,0,1,0,1
38,0,9.0,1,0.0,9.0,0,0,0,1
39,1,44.04,1,0.0,44.04,0,0,0,1
40,0,19.5855,1,19.5855,0.0,0,0,0,1
41,2,38.313,2,38.313,0.0,0,0,0,1
42,1,130.2831,6,86.9231,43.36,0,0,0,1
43,1,88.2109,2,88.2109,0.0,0,0,0,1
44,1,143.0915,5,125.0915,18.0,0,0,0,0
45,2,129.9035,4,129.9035,0.0,0,0,0,1
46,1,122.7306,4,85.2106,37.52,0,0,0,1
47,1,632.67,10,507.46,125.21,0,1,0,0
48,0,148.4021,1,148.4021,0.0,0,1,0,0
49,0,176.0036,4,158.3336,17.67,1,1,0,0
50,26,280.3792,8,172.5692,107.81,0,1,0,0
51,0,145.5105,2,145.5105,0.0,0,1,0,0
52,25,144.2737,4,144.2737,0.0,0,1,0,0
53,12,33.272,1,33.272,0.0,0,0,0,1
54,0,31.0,1,31.0,0.0,0,0,0,1
55,0,0.0,2,0.0,0.0,0,0,0,1
